LAT, LONG, EL, TIMESTAMP, TIME
40.7631779,-73.9820325,31.991,2012-02-02T19:25:35Z,1328228735.0
40.7631302,-73.9822648,31.986,2012-02-02T19:25:43Z,1328228743.0
40.7631045,-73.9823363,31.986,2012-02-02T19:25:45Z,1328228745.0
40.7630922,-73.9824693,32.114,2012-02-02T19:25:48Z,1328228748.0
40.7630741,-73.9826514,32.446,2012-02-02T19:25:51Z,1328228751.0
40.7630793,-73.9827153,32.786,2012-02-02T19:25:53Z,1328228753.0
40.7630950,-73.9828184,32.946,2012-02-02T19:25:56Z,1328228756.0
40.7630950,-73.9828184,32.971,2012-02-02T19:25:58Z,1328228758.0
40.7632086,-73.9831778,31.625,2012-02-02T19:26:34Z,1328228794.0
40.7632847,-73.9831932,28.057,2012-02-02T19:26:36Z,1328228796.0
40.7633885,-73.9832324,23.654,2012-02-02T19:26:39Z,1328228799.0
40.7634043,-73.9833344,18.517,2012-02-02T19:26:43Z,1328228803.0
40.7634215,-73.9835181,12.265,2012-02-02T19:26:45Z,1328228805.0
40.7635255,-73.9837116,7.379,2012-02-02T19:26:47Z,1328228807.0
40.7637371,-73.9840143,5.486,2012-02-02T19:26:50Z,1328228810.0
40.7638672,-73.9842073,5.272,2012-02-02T19:26:53Z,1328228813.0
40.7639665,-73.9843711,5.312,2012-02-02T19:26:56Z,1328228816.0
40.7640354,-73.9844519,5.220,2012-02-02T19:26:58Z,1328228818.0
40.7640354,-73.9844519,5.153,2012-02-02T19:27:03Z,1328228823.0
40.7642928,-73.9847250,5.153,2012-02-02T19:27:31Z,1328228851.0
40.7643839,-73.9848125,5.186,2012-02-02T19:27:34Z,1328228854.0
40.7644582,-73.9848528,5.210,2012-02-02T19:27:36Z,1328228856.0
40.7644391,-73.9849583,7.459,2012-02-02T19:27:40Z,1328228860.0
40.7644686,-73.9850644,13.292,2012-02-02T19:27:42Z,1328228862.0
40.7644885,-73.9851729,19.471,2012-02-02T19:27:44Z,1328228864.0
40.7645365,-73.9853764,23.085,2012-02-02T19:27:47Z,1328228867.0
40.7645894,-73.9856149,24.740,2012-02-02T19:27:50Z,1328228870.0
40.7646593,-73.9858305,25.218,2012-02-02T19:27:53Z,1328228873.0
40.7647307,-73.9860376,25.069,2012-02-02T19:27:56Z,1328228876.0
40.7648183,-73.9862411,24.767,2012-02-02T19:27:59Z,1328228879.0
40.7648693,-73.9863683,24.557,2012-02-02T19:28:01Z,1328228881.0
40.7649246,-73.9865110,24.486,2012-02-02T19:28:03Z,1328228883.0
40.7649782,-73.9866455,23.531,2012-02-02T19:28:05Z,1328228885.0
40.7650292,-73.9867873,20.981,2012-02-02T19:28:07Z,1328228887.0
40.7650815,-73.9869259,18.172,2012-02-02T19:28:09Z,1328228889.0
40.7651576,-73.9871081,16.586,2012-02-02T19:28:12Z,1328228892.0
40.7652311,-73.9872663,16.126,2012-02-02T19:28:15Z,1328228895.0
40.7652774,-73.9873599,16.232,2012-02-02T19:28:17Z,1328228897.0
40.7653021,-73.9874545,16.449,2012-02-02T19:28:20Z,1328228900.0
40.7653021,-73.9874545,16.593,2012-02-02T19:28:24Z,1328228904.0
40.7653021,-73.9874545,16.646,2012-02-02T19:28:50Z,1328228930.0
40.7655512,-73.9873026,16.913,2012-02-02T19:31:19Z,1328229079.0
40.7656288,-73.9872708,17.617,2012-02-02T19:31:22Z,1328229082.0
40.7656472,-73.9872134,18.488,2012-02-02T19:31:26Z,1328229086.0
40.7656961,-73.9871617,20.609,2012-02-02T19:31:31Z,1328229091.0
40.7657336,-73.9871101,25.139,2012-02-02T19:31:34Z,1328229094.0
40.7657300,-73.9870318,30.230,2012-02-02T19:31:37Z,1328229097.0
40.7657509,-73.9869776,33.990,2012-02-02T19:31:40Z,1328229100.0
40.7657859,-73.9869347,36.664,2012-02-02T19:31:45Z,1328229105.0
40.7658422,-73.9868888,40.699,2012-02-02T19:31:49Z,1328229109.0
40.7659160,-73.9868648,48.433,2012-02-02T19:31:51Z,1328229111.0
40.7660026,-73.9868671,57.299,2012-02-02T19:31:53Z,1328229113.0
40.7660422,-73.9868996,62.733,2012-02-02T19:31:55Z,1328229115.0
40.7660877,-73.9869018,64.292,2012-02-02T19:31:59Z,1328229119.0
40.7661894,-73.9868367,63.918,2012-02-02T19:32:02Z,1328229122.0
40.7662651,-73.9867738,63.192,2012-02-02T19:32:04Z,1328229124.0
40.7663384,-73.9867175,62.754,2012-02-02T19:32:06Z,1328229126.0
40.7664244,-73.9866398,62.632,2012-02-02T19:32:09Z,1328229129.0
40.7665254,-73.9866001,63.892,2012-02-02T19:32:12Z,1328229132.0
40.7665564,-73.9866492,67.148,2012-02-02T19:32:14Z,1328229134.0
40.7666283,-73.9867676,70.466,2012-02-02T19:32:17Z,1328229137.0
40.7665873,-73.9868107,72.033,2012-02-02T19:32:20Z,1328229140.0
40.7665275,-73.9868653,70.238,2012-02-02T19:32:22Z,1328229142.0
40.7665168,-73.9867860,62.097,2012-02-02T19:32:34Z,1328229154.0
40.7665545,-73.9867165,48.872,2012-02-02T19:32:36Z,1328229156.0
40.7665545,-73.9867165,37.194,2012-02-02T19:33:06Z,1328229186.0
40.7665545,-73.9867165,31.389,2012-02-02T19:33:49Z,1328229229.0
40.7668420,-73.9866325,30.211,2012-02-02T19:34:16Z,1328229256.0
40.7668420,-73.9866325,30.530,2012-02-02T19:34:20Z,1328229260.0
40.7665716,-73.9868093,30.166,2012-02-02T19:34:37Z,1328229277.0
40.7665196,-73.9869161,28.812,2012-02-02T19:34:40Z,1328229280.0
40.7664226,-73.9870597,27.515,2012-02-02T19:34:43Z,1328229283.0
40.7663046,-73.9872055,26.926,2012-02-02T19:34:46Z,1328229286.0
40.7662385,-73.9873111,26.216,2012-02-02T19:34:49Z,1328229289.0
40.7661657,-73.9873431,25.328,2012-02-02T19:34:52Z,1328229292.0
40.7660924,-73.9873849,25.346,2012-02-02T19:34:54Z,1328229294.0
40.7659878,-73.9873885,26.217,2012-02-02T19:34:57Z,1328229297.0
40.7658920,-73.9873870,27.259,2012-02-02T19:34:59Z,1328229299.0
40.7657681,-73.9874287,28.430,2012-02-02T19:35:01Z,1328229301.0
40.7656231,-73.9874954,29.336,2012-02-02T19:35:03Z,1328229303.0
40.7654285,-73.9876037,29.684,2012-02-02T19:35:06Z,1328229306.0
40.7652817,-73.9876637,29.208,2012-02-02T19:35:09Z,1328229309.0
40.7652319,-73.9877266,27.866,2012-02-02T19:35:11Z,1328229311.0
40.7652055,-73.9877752,26.513,2012-02-02T19:35:13Z,1328229313.0
40.7651483,-73.9878453,25.878,2012-02-02T19:35:15Z,1328229315.0
40.7651017,-73.9879292,25.786,2012-02-02T19:35:18Z,1328229318.0
40.7651017,-73.9879292,25.898,2012-02-02T19:35:20Z,1328229320.0
40.7651017,-73.9879292,26.008,2012-02-02T19:35:45Z,1328229345.0
40.7648162,-73.9881120,26.299,2012-02-02T19:35:59Z,1328229359.0
40.7647216,-73.9881837,26.932,2012-02-02T19:36:01Z,1328229361.0
40.7646237,-73.9882574,27.565,2012-02-02T19:36:03Z,1328229363.0
40.7645468,-73.9883176,28.270,2012-02-02T19:36:05Z,1328229365.0
40.7644243,-73.9884178,29.423,2012-02-02T19:36:08Z,1328229368.0
40.7642961,-73.9885038,30.972,2012-02-02T19:36:11Z,1328229371.0
40.7642129,-73.9885700,32.905,2012-02-02T19:36:13Z,1328229373.0
40.7640414,-73.9886678,34.997,2012-02-02T19:36:16Z,1328229376.0
40.7639173,-73.9887482,36.493,2012-02-02T19:36:18Z,1328229378.0
40.7638165,-73.9888470,37.101,2012-02-02T19:36:21Z,1328229381.0
40.7636840,-73.9889428,37.053,2012-02-02T19:36:24Z,1328229384.0
40.7634845,-73.9890774,36.628,2012-02-02T19:36:27Z,1328229387.0
40.7633151,-73.9891823,35.615,2012-02-02T19:36:30Z,1328229390.0
40.7632139,-73.9892367,33.979,2012-02-02T19:36:32Z,1328229392.0
40.7630598,-73.9893431,32.539,2012-02-02T19:36:35Z,1328229395.0
40.7629082,-73.9894684,31.922,2012-02-02T19:36:38Z,1328229398.0
40.7628154,-73.9895266,32.069,2012-02-02T19:36:40Z,1328229400.0
40.7627282,-73.9895868,32.949,2012-02-02T19:36:42Z,1328229402.0
40.7626609,-73.9896428,34.696,2012-02-02T19:36:45Z,1328229405.0
40.7625557,-73.9897388,37.047,2012-02-02T19:36:48Z,1328229408.0
40.7625179,-73.9897775,39.734,2012-02-02T19:36:50Z,1328229410.0
40.7622417,-73.9899471,41.680,2012-02-02T19:37:09Z,1328229429.0
40.7621841,-73.9900036,41.578,2012-02-02T19:37:11Z,1328229431.0
40.7621246,-73.9899813,40.139,2012-02-02T19:37:16Z,1328229436.0
40.7620008,-73.9899904,39.297,2012-02-02T19:37:19Z,1328229439.0
40.7619481,-73.9900302,39.465,2012-02-02T19:37:21Z,1328229441.0
40.7618884,-73.9901129,40.043,2012-02-02T19:37:23Z,1328229443.0
40.7617897,-73.9902520,40.430,2012-02-02T19:37:26Z,1328229446.0
40.7617582,-73.9903097,40.820,2012-02-02T19:37:28Z,1328229448.0
40.7617582,-73.9903097,41.494,2012-02-02T19:37:32Z,1328229452.0
40.7617582,-73.9903097,42.153,2012-02-02T19:38:35Z,1328229515.0
40.7617582,-73.9903097,42.458,2012-02-02T19:39:46Z,1328229586.0
40.7613644,-73.9904048,42.461,2012-02-02T19:40:11Z,1328229611.0
40.7613248,-73.9904739,42.218,2012-02-02T19:40:14Z,1328229614.0
40.7613807,-73.9904666,41.736,2012-02-02T19:40:19Z,1328229619.0
40.7613807,-73.9904666,41.178,2012-02-02T19:40:20Z,1328229620.0
40.7613807,-73.9904666,40.853,2012-02-02T19:41:00Z,1328229660.0
40.7617138,-73.9903644,39.837,2012-02-02T19:41:05Z,1328229665.0
40.7617802,-73.9903624,37.180,2012-02-02T19:41:08Z,1328229668.0
40.7618348,-73.9903412,34.185,2012-02-02T19:41:10Z,1328229670.0
40.7618721,-73.9903005,31.298,2012-02-02T19:41:13Z,1328229673.0
40.7618721,-73.9903005,27.666,2012-02-02T19:41:27Z,1328229687.0
40.7618721,-73.9903005,24.508,2012-02-02T19:41:40Z,1328229700.0
40.7616104,-73.9903205,23.122,2012-02-02T19:41:55Z,1328229715.0
40.7614966,-73.9904102,22.893,2012-02-02T19:41:58Z,1328229718.0
40.7614003,-73.9904956,23.070,2012-02-02T19:42:00Z,1328229720.0
40.7612377,-73.9906194,23.315,2012-02-02T19:42:03Z,1328229723.0
40.7611275,-73.9906959,23.642,2012-02-02T19:42:06Z,1328229726.0
40.7610760,-73.9907470,24.067,2012-02-02T19:42:08Z,1328229728.0
40.7610145,-73.9908068,24.401,2012-02-02T19:42:10Z,1328229730.0
40.7609344,-73.9908715,24.531,2012-02-02T19:42:13Z,1328229733.0
40.7608663,-73.9909162,24.619,2012-02-02T19:42:16Z,1328229736.0
40.7607572,-73.9909870,24.860,2012-02-02T19:42:19Z,1328229739.0
40.7606207,-73.9910632,25.206,2012-02-02T19:42:22Z,1328229742.0
40.7604622,-73.9911238,25.456,2012-02-02T19:42:25Z,1328229745.0
40.7603498,-73.9912201,25.546,2012-02-02T19:42:27Z,1328229747.0
40.7601972,-73.9913458,25.483,2012-02-02T19:42:30Z,1328229750.0
40.7601107,-73.9914132,25.306,2012-02-02T19:42:32Z,1328229752.0
40.7600221,-73.9914727,25.190,2012-02-02T19:42:34Z,1328229754.0
40.7599665,-73.9915064,26.203,2012-02-02T19:42:36Z,1328229756.0
40.7599190,-73.9915418,28.804,2012-02-02T19:42:38Z,1328229758.0
40.7598339,-73.9916652,31.479,2012-02-02T19:42:41Z,1328229761.0
40.7596880,-73.9917631,32.897,2012-02-02T19:42:44Z,1328229764.0
40.7595574,-73.9918306,33.594,2012-02-02T19:42:47Z,1328229767.0
40.7594724,-73.9918624,34.651,2012-02-02T19:42:50Z,1328229770.0
40.7593915,-73.9919282,36.277,2012-02-02T19:42:52Z,1328229772.0
40.7592961,-73.9920637,37.198,2012-02-02T19:42:55Z,1328229775.0
40.7591653,-73.9921842,36.398,2012-02-02T19:42:58Z,1328229778.0
40.7590986,-73.9922391,34.384,2012-02-02T19:43:00Z,1328229780.0
40.7590414,-73.9922823,32.046,2012-02-02T19:43:02Z,1328229782.0
40.7589198,-73.9923804,29.945,2012-02-02T19:43:05Z,1328229785.0
40.7587821,-73.9925065,28.115,2012-02-02T19:43:08Z,1328229788.0
40.7587271,-73.9925817,26.007,2012-02-02T19:43:11Z,1328229791.0
40.7587271,-73.9925817,23.745,2012-02-02T19:43:13Z,1328229793.0
40.7587787,-73.9928834,22.133,2012-02-02T19:43:48Z,1328229828.0
40.7588074,-73.9929738,21.323,2012-02-02T19:43:50Z,1328229830.0
40.7588437,-73.9931258,20.945,2012-02-02T19:43:53Z,1328229833.0
40.7589113,-73.9932733,19.830,2012-02-02T19:43:56Z,1328229836.0
40.7589759,-73.9934366,16.582,2012-02-02T19:43:59Z,1328229839.0
40.7590357,-73.9936564,12.137,2012-02-02T19:44:02Z,1328229842.0
40.7590751,-73.9937822,8.956,2012-02-02T19:44:04Z,1328229844.0
40.7591247,-73.9938950,8.368,2012-02-02T19:44:06Z,1328229846.0
40.7591666,-73.9939921,9.870,2012-02-02T19:44:08Z,1328229848.0
40.7591958,-73.9940938,11.741,2012-02-02T19:44:10Z,1328229850.0
40.7592258,-73.9941781,12.684,2012-02-02T19:44:12Z,1328229852.0
40.7592528,-73.9942408,12.819,2012-02-02T19:44:15Z,1328229855.0
40.7592635,-73.9943026,12.594,2012-02-02T19:44:17Z,1328229857.0
40.7592780,-73.9944344,12.202,2012-02-02T19:44:20Z,1328229860.0
40.7592762,-73.9944943,11.769,2012-02-02T19:44:23Z,1328229863.0
40.7593066,-73.9946256,11.451,2012-02-02T19:44:26Z,1328229866.0
40.7593036,-73.9947234,11.270,2012-02-02T19:44:28Z,1328229868.0
40.7593369,-73.9949331,10.882,2012-02-02T19:44:31Z,1328229871.0
40.7593442,-73.9951689,10.090,2012-02-02T19:44:34Z,1328229874.0
40.7593865,-73.9953919,9.314,2012-02-02T19:44:36Z,1328229876.0
40.7594216,-73.9955149,9.342,2012-02-02T19:44:38Z,1328229878.0
40.7594493,-73.9955816,10.299,2012-02-02T19:44:40Z,1328229880.0
40.7594711,-73.9956392,12.040,2012-02-02T19:44:42Z,1328229882.0
40.7595368,-73.9956899,14.556,2012-02-02T19:44:45Z,1328229885.0
